TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery
2019-05-13 13:15:05.490,0.1842708,-0.8087334,-0.33343554,0.1524781,0.18857947,-0.39899525,-0.8670363,0.16530997,0.71442974,-0.41453478,-0.21904302,0.833747,0.13637178,-0.31983513,-0.36218193,0.17909454,-0.45958236,-0.95348805,-1.1878393,-0.17218433,853.00366,857.8388,851.39197,853.00366,853.00366,0.54437255859375,0.0977783203125,0.8284912109375,-1.188812255859375,4.78515625,4.38140869140625,1,1.0,1.0,1.0,1.0,48.92
2019-05-13 13:15:06.502,0.07196287,-0.39618862,-0.4995181,-0.07352513,0.19551848,-0.66547066,-0.82574755,0.30228248,0.7663791,-0.35538593,-0.2723483,0.6363365,0.14286175,-0.41607746,-0.36517155,0.103931375,-0.3538628,-0.7429662,-0.85217875,-0.21469441,868.315,853.4066,853.8095,873.1502,853.00366,0.54461669921875,0.09454345703125,0.82745361328125,-1.024322509765625,4.35150146484375,4.089813232421875,1,1.0,1.0,1.0,1.0,48.92
2019-05-13 13:15:07.518,0.6723047,-0.42322415,-0.07225069,0.52477974,0.17610085,-0.75518245,-0.47689953,-0.014389486,0.7203466,-0.49067983,-0.45149267,0.45110568,0.1817032,-0.4102123,-0.4517097,0.17450581,-0.43201718,-0.80233496,-0.8863296,-0.06644399,853.4066,852.6007,851.79486,857.03296,859.45056,0.541748046875,0.09417724609375,0.83197021484375,-0.7476806640625,4.418792724609375,4.613189697265625,1,1.0,1.0,1.0,1.0,48.92
2019-05-13 13:15:08.540,0.49560067,-0.6207343,-0.19738856,0.43893424,0.019063383,-0.7020947,-0.43164405,-0.013345214,0.6808999,-0.37577626,-0.32083344,0.40782696,0.05679501,-0.4017681,-0.36058265,0.2640855,-0.5758674,-0.8743788,-1.0561717,-0.018342579,857.03296,856.2271,850.58606,857.8388,858.6447,0.53863525390625,0.0938720703125,0.827880859375,-1.06170654296875,4.732818603515625,4.50103759765625,1,1.0,1.0,1.0,1.0,48.92
2019-05-13 13:15:09.545,-0.027032364,-0.44789612,-0.7956905,0.043492902,0.1063039,-0.41448897,-0.69630146,-0.03119533,0.3570969,-0.2715967,-0.308559,0.37234494,0.039444625,-0.31263107,-0.4457611,0.19468236,-0.6142097,-0.99943304,-1.0140136,-0.17548835,855.0183,855.0183,857.4359,850.989,849.3773,0.54986572265625,0.09674072265625,0.825439453125,-1.263580322265625,4.5159912109375,3.656158447265625,1,1.0,1.0,1.0,1.0,48.92
2019-05-13 13:15:10.558,0.18802904,-0.30296677,-0.8375711,0.29994747,0.08833059,-0.27967343,-0.5771692,0.09884764,0.22241113,-0.31063506,-0.37667295,0.42965165,0.05901188,-0.30124322,-0.43905625,0.17736779,-0.4516814,-0.9014974,-0.7820539,-0.17492588,853.00366,847.3626,857.03296,853.00366,849.7802,0.55084228515625,0.09710693359375,0.82806396484375,-0.725250244140625,3.9776611328125,4.613189697265625,1,1.0,1.0,1.0,1.0,48.89
2019-05-13 13:15:11.585,-0.060003713,-0.11506723,-0.5903439,-0.031999882,0.021726355,-0.30735034,-0.46407363,0.0787783,0.61342597,-0.22580087,-0.3347623,0.7527926,0.22038123,-0.33899027,-0.5464034,0.19991489,-0.49862438,-0.7091301,-1.0242851,-0.25848952,861.8681,850.989,861.06226,864.68866,876.3736,0.5518798828125,0.09368896484375,0.81939697265625,-1.547698974609375,4.62066650390625,4.0972900390625,1,1.0,1.0,1.0,1.0,48.89
2019-05-13 13:15:12.609,0.33777782,0.03972364,-0.5081634,-0.12957267,0.036376428,-0.5606492,-0.37104136,0.077451386,0.6202864,-0.23262797,0.030602407,0.77290463,0.15991807,-0.42363578,-0.47495723,0.13443668,-0.55445135,-0.75747406,-1.0248972,-0.23907112,855.82416,848.1685,857.03296,852.1978,882.4176,0.55126953125,0.095703125,0.82257080078125,-1.24114990234375,4.418792724609375,4.14215087890625,1,1.0,1.0,1.0,1.0,48.89
2019-05-13 13:15:13.639,0.5214616,0.09076253,-0.4347326,0.073606335,0.26724905,-0.7618688,-0.513085,0.17880902,0.7665499,-0.13172175,-0.07074705,0.71749824,0.10578042,-0.4658321,-0.5231732,0.18132383,-0.52850723,-0.6522301,-1.0689114,-0.27026257,842.9304,845.7509,850.989,848.5714,809.4872,0.5543212890625,0.09454345703125,0.82177734375,-1.33087158203125,4.14215087890625,4.0374755859375,1,1.0,1.0,1.0,1.0,48.89
2019-05-13 13:15:14.655,0.3289798,0.044267606,-0.4337191,-0.033144638,0.3031593,-0.50236666,-0.54755425,0.2440565,0.6493545,-0.056670588,-0.024999294,0.50599873,0.04833469,-0.38025755,-0.40293,0.19444655,-0.49282828,-0.50161517,-0.8995491,-0.19353785,859.85345,841.31866,850.989,851.39197,879.19415,0.54608154296875,0.09521484375,0.82305908203125,-1.06170654296875,4.71038818359375,4.5159912109375,1,1.0,1.0,1.0,1.0,48.89
2019-05-13 13:15:15.677,-0.05916404,1.1581262,-0.30949417,-0.060206495,0.09216809,0.0026962662,-0.9080842,-0.20780599,0.52861106,-0.2518234,-0.40640122,0.044776827,-0.019921783,-0.3223612,-0.42367503,0.10364231,-0.6226536,-0.6479356,-0.9893581,-0.26726285,859.0476,818.7546,855.82416,858.6447,823.1868,0.551025390625,0.09912109375,0.82269287109375,-1.054229736328125,4.299163818359375,4.77020263671875,1,1.0,1.0,1.0,1.0,48.89
2019-05-13 13:15:16.704,-0.008599664,1.1385728,-0.36401793,0.14323176,-0.07682962,0.20333545,-0.69626987,-0.20248425,0.4466126,0.032561317,-0.33051285,0.48060957,-0.07812055,-0.09815337,-0.17257524,0.03902385,-0.3327291,-0.65155005,-0.7082324,-0.0061202403,853.4066,840.5128,853.00366,850.58606,851.79486,0.554443359375,0.09783935546875,0.8194580078125,-1.03179931640625,4.32159423828125,4.314117431640625,1,1.0,1.0,1.0,1.0,48.89
2019-05-13 13:15:17.706,-0.08076027,0.17761691,-0.43462047,-0.34020844,0.030418864,-0.44372773,-0.43796286,-0.14780882,0.44544226,-0.22954686,-0.3102468,0.4501795,-0.19180907,-0.3556877,-0.43061224,0.18451878,-0.5448654,-0.92418003,-1.0763272,-0.24377914,850.18317,850.989,855.42126,861.8681,853.00366,0.55352783203125,0.09588623046875,0.820068359375,-2.093505859375,4.56085205078125,4.2169189453125,1,1.0,1.0,1.0,1.0,48.89
2019-05-13 13:15:18.733,-0.058086812,-0.152588,-0.43052536,-0.063694075,-0.0047247726,-0.4097063,-0.36396727,-0.15878633,0.27178785,-0.27887315,-0.38628677,0.24556267,-0.07397447,-0.4809293,-0.4845719,0.113277875,-0.66933763,-1.0175467,-1.0527973,-0.46426636,849.3773,843.3333,859.45056,858.24176,826.0073,0.552734375,0.09442138671875,0.8216552734375,-1.248626708984375,4.702911376953125,4.14215087890625,1,1.0,1.0,1.0,1.0,48.89
2019-05-13 13:15:19.764,-0.15036939,0.40776685,-0.6626149,-0.06671467,-0.065926045,0.10104275,-0.2915804,0.046901897,0.26370734,0.4892804,-0.39298925,0.27178076,0.0071700793,-0.16542114,-0.32133824,-0.031767953,-0.64406383,-0.917462,-1.1015245,-0.5923572,848.5714,842.9304,854.21246,848.1685,871.9414,0.55108642578125,0.10296630859375,0.8187255859375,-1.054229736328125,5.14404296875,4.598236083984375,1,1.0,1.0,1.0,1.0,48.89
2019-05-13 13:15:20.793,-0.13890114,0.9301473,-0.84965134,-0.07348077,-0.10323698,0.4716523,-0.5358949,0.08117079,0.3829377,0.63629556,-0.36652815,0.3661928,0.17576672,0.04733055,-0.31225044,0.021872139,-0.30830306,-0.5934823,-0.8948008,-0.40017837,849.7802,848.97437,860.2564,856.63007,869.5238,0.55645751953125,0.09417724609375,0.819580078125,-1.368255615234375,4.673004150390625,4.41131591796875,1,1.0,1.0,1.0,1.0,48.88
2019-05-13 13:15:21.809,0.023222925,-0.05990236,-0.48579165,-0.21326485,-0.039309606,-0.19022922,-0.6112746,-0.26701224,0.37820718,-0.15285707,-0.26000938,0.064815804,0.034471493,-0.27326012,-0.18893494,0.06264731,-0.42215976,-0.7332309,-1.0057414,-0.5252463,861.8681,848.1685,859.0476,863.8828,878.3883,0.55645751953125,0.096923828125,0.8203125,-1.248626708984375,3.6785888671875,4.089813232421875,1,1.0,1.0,1.0,1.0,48.88
2019-05-13 13:15:22.816,0.17300071,-0.105064034,-0.6427064,-0.22669694,0.07244845,-0.25589377,-0.6406693,-0.107768305,0.2549136,-0.14722478,0.028274717,0.38393152,-0.011950517,-0.36728868,-0.31453794,0.10979237,-0.268719,-0.58325684,-0.7975872,-0.58201355,867.1062,853.00366,857.4359,863.47986,832.8571,0.55755615234375,0.09637451171875,0.81744384765625,-1.00189208984375,4.269256591796875,4.957122802734375,1,1.0,1.0,1.0,1.0,48.88
2019-05-13 13:15:23.853,0.46571332,-0.2518932,-0.59126943,0.36812386,0.14134485,-0.38933307,-0.53104585,0.0021420945,0.35701913,-0.17169584,-0.020468606,0.49402037,-0.026972631,-0.39233956,-0.41674078,0.14363167,-0.27944466,-0.4797044,-0.8407163,-0.23255694,852.1978,852.1978,858.6447,857.8388,857.4359,0.557373046875,0.09228515625,0.81671142578125,-1.398162841796875,4.32159423828125,3.641204833984375,1,1.0,1.0,1.0,1.0,48.88
2019-05-13 13:15:24.881,0.43084884,0.2759966,-0.19147514,0.52062005,0.012177095,-0.26886585,-0.54471165,0.13337782,0.6602224,-0.11165604,-0.051283106,0.79317087,0.14555687,-0.22311154,-0.4457018,0.052224115,-0.33615074,-0.6465524,-0.8783834,-0.26346982,853.4066,860.65936,851.39197,850.58606,936.4103,0.5572509765625,0.095703125,0.8189697265625,-0.8673095703125,3.626251220703125,4.059906005859375,1,1.0,1.0,1.0,1.0,48.88
2019-05-13 13:15:25.896,0.36464104,0.23287936,-0.06341984,0.39613876,0.247248,0.024455244,-0.28877202,0.32384688,0.6667377,-0.030602716,0.0683894,0.8156062,0.25836462,-0.17868814,-0.23804359,0.11398778,-0.23806313,-0.46241385,-0.61831766,-0.3884581,851.79486,848.1685,857.4359,858.6447,849.3773,0.56121826171875,0.086669921875,0.81671142578125,-2.07855224609375,4.164581298828125,3.33465576171875,1,1.0,1.0,1.0,1.0,48.88
2019-05-13 13:15:26.915,0.2265997,0.072923854,-0.45896423,0.4462554,0.60122395,-0.045552496,-0.17013074,0.55123013,0.99863374,0.027048258,-0.0020350725,0.5408474,0.09498035,-0.2998473,-0.26278147,0.090911865,-0.2832413,-0.53709847,-0.64682096,-0.39843094,845.34796,848.1685,857.8388,850.58606,829.6337,0.56634521484375,0.091796875,0.816650390625,-1.55517578125,4.583282470703125,3.985137939453125,1,1.0,1.0,1.0,1.0,48.88
2019-05-13 13:15:27.927,0.297947,-0.1150071,-0.21530657,-0.08988923,0.52275693,-0.3505971,-0.43277183,0.36042723,0.9132307,-0.012960569,-0.19960839,0.36882803,0.012641786,-0.3219128,-0.3047882,0.010273375,-0.48566672,-0.68070126,-0.96808225,-0.30456042,850.58606,846.9597,860.2564,858.6447,854.21246,0.559814453125,0.0982666015625,0.814697265625,1.263580322265625,4.852447509765625,5.944061279296875,1,1.0,1.0,1.0,1.0,48.88
2019-05-13 13:15:28.952,-0.052895695,-0.27778748,-0.18932013,-0.26809385,0.14966866,-0.48368204,-0.5891877,-0.017282674,0.68548846,-0.03777364,-0.27925995,0.5278178,-0.033536155,-0.3453168,-0.3415118,0.0039115176,-0.49365467,-0.70581925,-1.0179931,-0.40654695,857.8388,856.2271,855.42126,853.4066,850.18317,0.5653076171875,0.0860595703125,0.8204345703125,-1.128997802734375,3.9776611328125,3.7982177734375,1,1.0,1.0,1.0,1.0,48.88
2019-05-13 13:15:29.969,0.052406687,-0.30049628,-0.20314741,0.0014119999,0.09237107,-0.4315696,-0.60016173,-0.014415172,0.89155966,-0.09043805,-0.22976069,0.595641,-0.049407694,-0.4438062,-0.45323583,0.0030949833,-0.5622648,-0.93783665,-0.9369949,-0.51558894,860.2564,851.39197,859.0476,859.85345,809.4872,0.5606689453125,0.0875244140625,0.81829833984375,-1.039276123046875,5.1739501953125,3.84307861328125,1,1.0,1.0,1.0,1.0,48.86
2019-05-13 13:15:30.983,0.043307725,-0.2195267,-0.19209297,-0.053765476,-0.04503716,-0.39043856,-0.47672835,-0.17631404,0.7787585,-0.08625145,-0.13971117,0.46634376,0.011262847,-0.4219292,-0.33901843,0.069028474,-0.3964264,-0.9210242,-0.880625,-0.4440049,853.8095,855.0183,859.85345,864.2857,842.9304,0.56121826171875,0.09613037109375,0.814697265625,-0.76263427734375,4.35150146484375,4.164581298828125,1,1.0,1.0,1.0,1.0,48.86
2019-05-13 13:15:32.016,-0.19458772,-0.22686908,-0.31795847,0.24177179,0.019564081,-0.31640995,-0.3980172,0.0394313,0.938565,-0.057748348,-0.043230467,0.6239395,0.07051877,-0.34806672,-0.2990894,0.037854135,-0.3913168,-0.67785317,-0.814715,-0.405525,862.27106,852.6007,856.63007,859.85345,846.1539,0.56732177734375,0.0880126953125,0.8133544921875,-1.502838134765625,4.4561767578125,4.104766845703125,1,1.0,1.0,1.0,1.0,48.86
2019-05-13 13:15:33.028,0.07113179,-0.32442698,-0.45692196,0.32660306,0.11770563,-0.28975645,-0.418294,0.059871342,1.0470526,-0.10708646,-0.02195016,0.7332489,0.029406128,-0.36136314,-0.4027185,0.0321295,-0.4542707,-0.71218663,-0.90466213,-0.500097,845.34796,847.3626,850.18317,849.3773,795.78754,0.5679931640625,0.093017578125,0.81201171875,-0.620574951171875,4.478607177734375,4.538421630859375,1,1.0,1.0,1.0,1.0,48.86
2019-05-13 13:15:34.041,0.30388787,-0.52838653,-0.229207,0.28212017,0.3548273,-0.31425732,-0.25714895,0.23581912,0.6457382,-0.03650079,-0.08191405,0.52589995,0.12086019,-0.27688742,-0.53790486,0.025694203,-0.23917377,-0.609175,-0.8481321,-0.43658155,854.21246,850.18317,854.61536,849.7802,828.4249,0.572509765625,0.091796875,0.81085205078125,-1.21124267578125,4.269256591796875,4.059906005859375,1,1.0,1.0,1.0,1.0,48.86
2019-05-13 13:15:35.071,0.24790475,-0.48233315,-0.050141063,0.11325688,0.25378773,-0.32844782,-0.36916557,0.23528658,0.5583522,-0.20233355,-0.35713002,0.3948343,0.12571776,-0.26250312,-0.50394136,0.15568785,-0.32872817,-0.6531148,-0.92311865,-0.54349804,853.8095,856.2271,850.989,854.61536,851.79486,0.5716552734375,0.0950927734375,0.81024169921875,-0.76263427734375,4.269256591796875,4.4561767578125,1,1.0,1.0,1.0,1.0,48.86
2019-05-13 13:15:36.089,-0.074005,-0.36680672,-0.12002755,-0.32048976,-0.08169911,-0.44243446,-0.52642846,-0.26423898,0.46367046,-0.45624408,-0.29086095,0.45835343,0.06602123,-0.34372547,-0.54206216,0.19478028,-0.51396054,-0.7005624,-1.0816108,-0.70592904,853.8095,851.79486,851.79486,853.8095,882.01465,0.5711669921875,0.0926513671875,0.81219482421875,-1.233673095703125,4.119720458984375,4.388885498046875,1,1.0,1.0,1.0,1.0,48.86
2019-05-13 13:15:37.116,-0.28049886,-0.5315118,-0.59512895,-0.5446365,0.043183684,-0.5168371,-0.4815867,-0.17681126,0.1631008,-0.55691683,-0.21267775,0.4775556,0.007953639,-0.47218308,-0.4892598,0.0998832,-0.61384887,-0.5717343,-1.0363833,-0.4637663,853.00366,861.4652,852.1978,858.24176,813.91943,0.571044921875,0.09100341796875,0.8072509765625,-1.338348388671875,4.7552490234375,4.194488525390625,1,1.0,1.0,1.0,1.0,48.86
2019-05-13 13:15:38.150,-0.026266223,-0.365016,-1.5237641E-4,0.22558962,0.30568582,-0.46816117,-0.5077972,0.21291062,0.46294105,-0.42260405,-0.20838921,0.64983827,0.087903395,-0.35531616,-0.4181623,0.10151976,-0.33112976,-0.52017623,-0.97200143,-0.40877497,849.7802,853.4066,857.03296,855.42126,862.674,0.57281494140625,0.0965576171875,0.8065185546875,-1.218719482421875,4.1571044921875,4.486083984375,1,1.0,1.0,1.0,1.0,48.86
2019-05-13 13:15:39.180,0.13962278,-0.2547096,-0.007572642,0.16975003,0.5556511,-0.29075712,-0.6560461,0.37820202,1.1017575,0.079634756,-0.19102387,0.5261587,0.14080295,-0.37115288,-0.37881836,0.17899793,-0.2873187,-0.48231646,-0.8124755,-0.47900933,852.6007,856.63007,850.18317,846.9597,890.07324,0.5731201171875,0.09307861328125,0.80963134765625,-1.338348388671875,4.42626953125,4.568328857421875,1,1.0,1.0,1.0,1.0,48.86
2019-05-13 13:15:40.188,0.25956926,-0.5030093,-0.2249186,-0.20285353,0.6265423,-0.20484851,-0.47785044,0.35166472,1.0995493,0.05065061,-0.29051477,0.54904836,-0.03106249,-0.3094024,-0.39147428,0.019793455,-0.5131162,-0.5401816,-0.7530942,-0.5050416,846.55676,853.00366,854.21246,853.8095,853.4066,0.57293701171875,0.09210205078125,0.807373046875,-1.42059326171875,4.314117431640625,4.35150146484375,1,1.0,1.0,1.0,1.0,48.84
2019-05-13 13:15:41.204,0.2218406,-0.3976231,-0.2044407,-0.21656135,0.4218081,-0.24831752,-0.2004841,0.0718792,0.7625914,-0.14357767,-0.42811754,0.35947788,0.06587675,-0.22799116,-0.14987627,0.038082987,-0.4836501,-0.433027,-0.6864011,-0.24875738,857.4359,853.8095,853.8095,852.6007,811.50183,0.57818603515625,0.0919189453125,0.80706787109375,-1.15142822265625,4.254302978515625,4.14215087890625,1,1.0,1.0,1.0,1.0,48.84
2019-05-13 13:15:42.233,0.15497434,-0.42501912,-0.317413,-0.114040166,0.21083254,-0.34047073,-0.18021742,8.951362E-4,0.6557748,-0.17468208,0.046009477,0.18035343,0.059128486,-0.27561852,-0.26449195,0.011680261,-0.36412036,-0.60544896,-0.86038995,-0.30235472,855.42126,853.8095,846.1539,860.2564,878.3883,0.579833984375,0.09417724609375,0.80487060546875,-0.710296630859375,4.000091552734375,4.5458984375,1,1.0,1.0,1.0,1.0,48.84
2019-05-13 13:15:43.253,0.118213594,-0.5850669,-0.408531,-0.08993563,-0.051252246,-0.507508,-0.07380067,0.020917535,0.33132902,-0.24839321,0.05437293,0.5053555,-0.044484265,-0.32478222,-0.38181272,0.089217976,-0.34197542,-0.51851964,-0.8625741,-0.47863272,855.42126,856.63007,850.989,845.34796,874.35895,0.5780029296875,0.097412109375,0.7987060546875,-1.375732421875,4.71038818359375,4.2767333984375,1,1.0,1.0,1.0,1.0,48.84
2019-05-13 13:15:44.271,0.15401527,-0.5585434,-0.44370136,0.2039737,0.5301326,-0.08100491,-0.13554846,0.31912857,0.46445665,-0.07517057,-0.2623759,0.5054645,-0.048190817,-0.34059834,-0.38061607,0.008588396,-0.20700602,-0.47239444,-0.69331324,-0.6764748,851.39197,851.39197,853.4066,853.8095,833.663,0.58258056640625,0.09246826171875,0.80615234375,-1.383209228515625,4.777679443359375,4.14215087890625,1,1.0,1.0,1.0,1.0,48.84
2019-05-13 13:15:45.287,0.14279416,-0.033478435,-0.18704183,0.1822099,0.6145301,-0.035023075,-0.07788674,0.39353734,0.47526482,-0.023474514,-6.3227955E-4,0.37974754,-0.044008296,-0.37737688,-0.49608588,-0.17408173,-0.42578143,-0.70281863,-0.93672585,-0.6585499,851.39197,854.21246,858.24176,848.97437,859.0476,0.5762939453125,0.09033203125,0.80615234375,-1.383209228515625,4.403839111328125,4.089813232421875,1,1.0,1.0,1.0,1.0,48.84
2019-05-13 13:15:46.306,0.032662667,-0.38872588,-0.36877397,0.10490261,0.11763234,-0.3618344,-0.3727799,0.13364986,0.35528243,-0.09378426,-0.07458345,0.4269801,-0.17933056,-0.32068422,-0.41489375,-0.07779861,-0.82280976,-0.6029973,-1.0041797,-0.36151588,856.2271,857.8388,853.8095,848.5714,816.337,0.58013916015625,0.09326171875,0.80364990234375,-1.4056396484375,4.373931884765625,4.089813232421875,1,1.0,1.0,1.0,1.0,48.84
